No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
347,2117,1123,994,379,490,1,759,462,297,1026,617,409,332,13
132,699,351,348,172,19,678,52,31,21,341,175,166,341,0
91,506,274,232,116,0,443,41,27,14,125,121,4,0,0
13910,85105,44056,41049,16788,16897,94,43617,25610,18007,28548,20343,8205,6443,293
13910,85105,44056,41049,16788,16897,94,43617,25610,18007,28548,20343,8205,6443,293
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,620,314,306,159,83,0,369,184,185,254,110,144,78,1
825,5173,2673,2500,949,1291,0,3013,1666,1347,1637,1328,309,224,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1650,842,808,379,305,1,649,408,241,517,395,122,1,0
285,1686,834,852,343,340,4,824,449,375,589,378,211,29,0
194,1230,648,582,237,213,2,727,441,286,327,260,67,85,0
881,5378,2771,2607,1060,1533,2,2751,1611,1140,1926,1379,547,864,20
